iter	Passed	Remaining
0	61	36715
1	64	19157
2	66	13260
3	69	10375
4	72	8636
5	75	7452
6	77	6577
7	80	5923
8	82	5414
9	85	5026
10	88	4729
11	90	4445
12	93	4209
13	95	4003
14	97	3820
15	100	3659
16	103	3539
17	105	3414
18	107	3301
19	110	3197
20	112	3102
21	114	3017
22	117	2941
23	119	2874
24	122	2808
25	124	2744
26	126	2684
27	128	2631
28	131	2585
29	133	2544
30	136	2502
31	138	2459
32	140	2419
33	143	2383
34	145	2351
35	148	2320
36	150	2294
37	153	2263
38	155	2236
39	157	2207
40	160	2183
41	162	2158
42	164	2135
43	167	2114
44	169	2092
45	172	2072
46	174	2053
47	176	2034
48	179	2015
49	181	1997
50	184	1983
51	186	1968
52	189	1952
53	191	1936
54	193	1921
55	196	1907
56	198	1894
57	201	1880
58	203	1865
59	205	1851
60	208	1839
61	210	1825
62	212	1813
63	215	1802
64	217	1792
65	220	1780
66	222	1768
67	224	1756
68	226	1745
69	229	1735
70	232	1729
71	234	1722
72	237	1712
73	239	1703
74	241	1693
75	244	1684
76	246	1676
77	249	1672
78	252	1663
79	254	1655
80	256	1646
81	259	1637
82	261	1629
83	264	1622
84	266	1616
85	269	1609
86	271	1601
87	273	1593
88	276	1586
89	278	1579
90	281	1573
91	283	1566
92	285	1558
93	288	1551
94	290	1544
95	292	1537
96	295	1530
97	297	1524
98	300	1518
99	302	1511
100	304	1505
101	306	1498
102	309	1492
103	311	1485
104	314	1483
105	317	1479
106	320	1475
107	322	1469
108	324	1463
109	327	1457
110	329	1451
111	332	1447
112	334	1441
113	336	1435
114	339	1430
115	341	1425
116	344	1422
117	347	1418
118	349	1413
119	352	1408
120	354	1403
121	356	1398
122	359	1393
123	361	1389
124	364	1386
125	367	1381
126	369	1376
127	371	1371
128	374	1365
129	376	1360
130	378	1356
131	381	1352
132	383	1347
133	386	1342
134	388	1337
135	390	1333
136	393	1329
137	395	1325
138	398	1320
139	400	1315
140	402	1310
141	404	1306
142	407	1302
143	410	1298
144	412	1294
145	415	1290
146	417	1286
147	419	1282
148	422	1278
149	424	1274
150	427	1270
151	429	1266
152	432	1262
153	434	1258
154	436	1254
155	439	1250
156	441	1246
157	444	1242
158	446	1238
159	449	1234
160	451	1230
161	453	1227
162	456	1225
163	459	1222
164	462	1218
165	464	1214
166	466	1210
167	469	1206
168	471	1202
169	474	1198
170	476	1195
171	479	1192
172	481	1188
173	483	1184
174	486	1181
175	488	1177
176	491	1174
177	493	1170
178	496	1167
179	498	1163
180	500	1159
181	503	1155
182	505	1152
183	507	1148
184	510	1145
185	512	1141
186	515	1138
187	517	1134
188	520	1131
189	522	1127
190	525	1124
191	527	1121
192	530	1119
193	532	1115
194	535	1111
195	537	1108
196	539	1104
197	542	1101
198	544	1098
199	547	1094
